r,Phi,phi
1e-09,2.3023809523809526,-1.0033659522403018e-22
1.0106274616749904e-09,2.3023806723022266,-0.03623594500983024
1.0212549233499805e-09,2.3023804009216557,-0.07134654257289068
1.0425098466999612e-09,2.302379882847176,-0.13837383385899263
1.0637647700499419e-09,2.30237939551608,-0.2014236164274951
1.0850196933999225e-09,2.3023789365431426,-0.26080448533945855
1.1062746167499032e-09,2.3023785037700515,-0.3167956780506069
1.1275295400998837e-09,2.302378095239989,-0.3696503631950806
1.1487844634498641e-09,2.302377709175472,-0.4195985074291978
1.1700393867998448e-09,2.302377343958986,-0.4668493810869217
1.1912943101498255e-09,2.3023769981160145,-0.5115937537324378
1.212549233499806e-09,2.3023766703001334,-0.5540058227081183
1.2338041568497864e-09,2.3023763592798843,-0.5942449111528267
1.255059080199767e-09,2.302376063927196,-0.6324569664541471
1.2763140035497477e-09,2.3023757832071383,-0.6687758854967506
1.2975689268997282e-09,2.302375516168844,-0.703324689215159
1.3188238502497087e-09,2.3023752619374487,-0.7362165657211917
1.3400787735996891e-09,2.3023750197069117,-0.7675557985478412
1.3613336969496698e-09,2.302374788733624,-0.7974385942453802
1.3825886202996505e-09,2.3023745683306913,-0.8259538216112755
1.398529812812136e-09,2.3023744095813083,-0.8464924536628327
1.4144710053246215e-09,2.3023742561689744,-0.8663405905680217
1.4304121978371069e-09,2.3023741078571054,-0.8855288409789012
1.4463533903495923e-09,2.3023739644220833,-0.9040861361075087
1.4622945828620777e-09,2.3023738256524116,-0.9220398388428991
1.478235775374563e-09,2.302373691347936,-0.9394158446760371
1.4941769678870484e-09,2.302373561319123,-0.9562386751279813
1.510118160399534e-09,2.3023734353863885,-0.9725315643110785
1.542000545424505e-09,2.3023731951369175,-1.0036144913690501
1.5738829304494759e-09,2.3023729693393586,-1.0328276631074846
1.6057653154744466e-09,2.3023727568574173,-1.06031809070572
1.6376477004994174e-09,2.3023725566643205,-1.0862186157110085
1.6695300855243882e-09,2.302372367830389,-1.110649517878475
1.701412470549359e-09,2.3023721895122247,-1.1337199141176793
1.7332948555743298e-09,2.3023720209432774,-1.1555289789966574
1.7651772405993008e-09,2.3023718614255912,-1.1761670123500518
1.7970596256242718e-09,2.3023717103225714,-1.1957163754958484
1.8289420106492426e-09,2.3023715670526195,-1.214252314221474
1.8608243956742134e-09,2.3023714310835306,-1.231843683924106
1.8927067806991842e-09,2.3023713019275447,-1.2485535899777125
1.9245891657241554e-09,2.3023711791369643,-1.2644399544668117
1.9564715507491262e-09,2.3023710623002693,-1.2795560188067026
1.988353935774097e-09,2.302370951038667,-1.2939507904073602
2.020236320799068e-09,2.3023708450030167,-1.3076694403889026
2.0521187058240386e-09,2.302370743871085,-1.3207536583844193
2.0840010908490094e-09,2.3023706473450996,-1.3332419696413653
2.1158834758739802e-09,2.30237055514955,-1.345170018931448
2.1477658608989514e-09,2.302370467029224,-1.356570825180963
2.1796482459239226e-09,2.3023703827474353,-1.3674750102223732
2.2115306309488934e-09,2.302370302084436,-1.3779110046299297
2.2434130159738642e-09,2.3023702248359794,-1.3879052332259028
2.275295400998835e-09,2.3023701508120302,-1.3974822825201365
2.307177786023806e-09,2.3023700798355895,-1.4066650520661963
2.3390601710487766e-09,2.3023700117416404,-1.4154748914757742
2.3709425560737474e-09,2.3023699463761846,-1.4239317246236751
2.4028249410987186e-09,2.3023698835953734,-1.4320541623939476
2.43470732612369e-09,2.302369823264714,-1.4398596051596206
2.4665897111486606e-09,2.3023697652583484,-1.4473643360506925
2.4984720961736314e-09,2.3023697094583984,-1.4545836059446784
2.5303544811986022e-09,2.3023696557543647,-1.4615317110087587
2.562236866223573e-09,2.302369604042579,-1.468222063530306
2.594119251248544e-09,2.3023695542257054,-1.4746672566915853
2.6260016362735146e-09,2.30236950621228,-1.4808791238731984
